hand_count,Position,player_nickname,player_id,Stack,Profit
69,#4,Solstice,VE6CjkevP7,1301.0,-1199.0
69,#3,g,ZLzUxKGvQY,1221.0,-29.0
69,#2,AndrewE8,ychRcKVV_K,670.0,170.0
69,#10,ADURRRR,cUjvHJzz-e,815.0,315.0
69,-1,tefy,mfsSSCynd7,620.0,120.0
70,#9,MS,5qVbrQw2gS,692.0,-58.0
70,#5,alex,6_sDk2RBW8,857.0,107.0
70,#4,Solstice,VE6CjkevP7,1301.0,-1199.0
70,#3,g,ZLzUxKGvQY,1221.0,-29.0
70,#2,AndrewE8,ychRcKVV_K,670.0,170.0
70,#10,ADURRRR,cUjvHJzz-e,795.0,295.0
70,-1,tefy,mfsSSCynd7,620.0,120.0
